Song,Artist,Place
232 Metro Line,Sophia Viggiano,"Manhattan Beach, California"
Alaska,Maggie Rogers,Alaska
Alewife,Clairo,"Alewife, Massachusetts"
America,Simon & Garfunkel,United States of America
Amsterdam,Gregory Alan Isakov,"Amsterdam, Netherlands"
Arizona,Frances Cone,Arizona
Arizona ,Corn on My Dinner Plate,Arizona
Atlanta Girls,Trash Panda,"Atlanta, Georgia"
Australia,The Shins,Australia
Blue Ridge June,Sam Burchfield,Blue ridge mountains
Blue Ridge Mountains,Fleet Foxes,Blue ridge mountains
Boston,Augustana,"Boston, Massachusetts"
Brazil,Declan McKenna,Brazil
Brooklyn,Patrick Droney,"Brooklyn, New York"
Brooklyn Nights,AJ Smith,"Brooklyn, New York"
Bruxelles,Boulevard des Airs,"Brussels, Belgium"
Budapest,George Ezra,"Budapest, Hungary"
California,Drinker,California
California,i said yes,California
California   ,Dessert,California
California Dreamin',Joseph,California
California English,Vampire Weekend,California
California Song,Patrick James,California
Cape Cod Kwassa Kwassa,Vampire Weekend,"Cape Cod, Massachusetts"
Cape to Rio,Beatenberg,"Rio, Brazil"
Cape to Rio,Beatenberg,"Cape Town, South Africa"
Carolina,Young Mister,North Carolina
Carolina,Bedon,North Carolina
Cavendish Square,Beatenberg,"Cavendish Square, London, UK"
Cemeteries of London,Coldplay,"Cemetery London, England"
Chicago,Flipturn,"Chicago, Illinois"
Chicago,Sufjan Stevens,"Chicago, Illinois"
Chicago,Flipturn,"Chicago, Illinois"
Coeur d'Alene,Tyson Motsenbocker,"Coeur d'Alene, Idaho"
Cold in California,Ashe,California
Colombia,Local Natives,Colombia
Cornelia Street,Taylor Swift,"Cornelia Street New York, New York"
Couer D'Alene,The Head and the Heart,"Coeur d'Alene, Idaho"
Driving to Hawaii,Summer Salt,Hawaii
Ever Since New York,Harry Styles,"New York, New York"
Fast Times in Minnesota,jeremy messersmith,Minnesota
Georgia,Lydia,"Georgia, USA"
Gibraltar,Beirut,Gibraltar
Goodnight Chicago,Rainbow Kitten Surprise,"Chicago, Illinois"
Graceland,Paul Simon,"Memphis, Tenessee"
Halfway to Hardinsburg,Houndmouth,"Hardinsburg, Kentucky"
Hamburg Song,Keane,"Hamburg, Germany"
Harlem,New Politics,"Harlem, New York City"
Holiday in Danville,Hunter Hunted,"Danville, California"
Hollywood,"RAC, Penguin Prison","Hollywood, California"
Hollywood Nights,Bob Seger,"Hollywood, California"
Hotel California,Eagles,California
Houston Dubai,Vampire Weekend,"Houston, Texas"
Houston Dubai,Vampire Weekend,"Dubai, United Arab Emirates"
Hudson,Vampire Weekend,Hudson River
I Woke up in Chicago,Former Belle,"Chicago, Illinois"
Ipanema,Still Woozy,"Ipanema, Rio, Brazil"
It's a Longer Road to California Than I Thought,The Wind and The Wave,California
Ithaca,Beatenberg,"Ithaca, Greece"
Ithaca,Beatenberg,"Ithaca, New York"
"Jerusalem, New York, Berlin",Vampire Weekend,"New York, New York"
"Jerusalem, New York, Berlin",Vampire Weekend,"Berlin, Germany"
"Jerusalem, New York, Berlin",Vampire Weekend,"Jerusalem, Israel"
Kalifornia,Modern Pleasure,California
King of Spain,The Tallest Man on Earth,Spain
Ladies of Cambridge,Vampire Weekend,"Cambridge, Massachusetts"
Lebanon,J.S. Ondara,Lebanon
Lebanon,J.S. Ondara,Lebanon
Left for Denver,The Lumineers,"Denver, Colorado"
London in the Spring,Passenger,"London, England"
Long New York,Stolen Jars,"New York, New York"
Manchester,Kishi Bashi,"Manchester, UK"
Manhattan,Sara Bareilles,"Manhattan, New York"
Marietta,Upstate,"Georgia, USA"
Massachusetts,Handsome Ghost,Massachusetts
Massachusetts,Ra Ra Riot,Massachusetts
Messina,Modern Pleasure,"Messina, Sicily"
Montana,Youth Lagoon,Montana
Montreal,Wylen,"Montreal, Canada"
Morocco,Moon Taxi,Morocco
Moscow,Autoheart,"Moscow, Russia"
Moving to New York,The Wombats,"New York, New York"
Mykonos,Fleet Foxes,"Mykonos, Greece"
Nantes,Beirut,"Nantes, France"
Nashville,David Mead,"Nashville, Tenessee"
NEW DORP. NEW YORK,"SBTRKT, Ezra Koenig","New York, New York"
New Orleans,Parachute,"New Orleans, Louisiana"
New York,Urban Cone,"New York, New York"
"New York, New York II",Glassio,"New York, New York"
Norway,The Paper Tigers,Norway
Norway,The Brummies,Norway
NYC Girl,The Orion Experience,"New York, New York"
Ohio,The Hussey Brothers,Ohio
Ohio,Ginger root,Ohio
Ohio,King Princess,Ohio
Okinawa,Sure Sure,"Okinawa, Japan"
Oslo,De Joie,"Oslo, Norway"
Oxford Town,Bob Dylan,"Oxford, UK"
Pasadena,Young Mister,"Pasadena, California"
Pompeii,Bastille,"Pompeii, Italy"
Pulaski at Night,Andrew Bird,"Chicago, Illinois"
Rio,MIKA,"Rio, Brazil"
Rio ,orangutang,"Rio, Brazil"
San Francisco,"YOG$, Caroline Pennell","San Francisco, California"
Santa Fe,Autoheart,"Santa Fe, New Mexico"
Savannah,Relient K,"Savannah, Georgia"
Seattle,Jason Walker,"Seattle, Washington"
Sedona,Houndmouth,"Sedona, Arizona"
Sierra Leone,Frank Ocean,Sierra Leone
The Mariana,Everything Everything,Mariana Trench
The Only Living Boy in New York,Simon & Garfunkel,"New York, New York"
Tropic of Cancer,Minor Poet,Tropic of Cancer
Vegas Girl,Conor Maynard,"Las Vegas, Nevada"
Vienna,Billy Joel,"Vienna, Austria"
Visions of China,The Lumineers,China
Walden Pond,Atta Boy,"Walden Pond, Massachusetts"
Washington Square Park,Tor Miller,"Washington Square Park, New York City"
Welcome to New York,Taylor Swift,"New York, New York"
Wilson State Park,Elijah Wolf,"Wilson State Park, Kansas"
Yellowstone,S. Carey,Yellowstone National Park